MSI Type,Institution,,City,State/Territory,Type
AANAPISI,North Hennepin Community College,,Brooklyn Park,MN,Pub 2yr
AANAPISI,Saint Paul College - A Community & Technical College,,Saint Paul,MN,Pub 2yr
AANAPISI,St. Catherine University,,Saint Paul,MN,Pri 4yr
AANAPISI,University of Minnesota - Twin Cities,,Minneapolis,MN,Pub 4yr
NASNTI,University of Minnesota - Morris,,Morris,MN,Pub 4yr
TCU,Fond du Lac Tribal & Community College,,Cloquet,MN,Pub 2yr
TCU,Leech Lake Tribal College,,Cass Lake,MN,Pub 2yr
TCU,White Earth Tribal and Community College,,Mahnomen,MN,Pri 2yr
HBCU,Harris - Stowe State University,,Saint Louis,MO,Pub 4yr
HBCU,Lincoln University,,Jefferson City,MO,Pub 4yr
PBI,TechMission,,Kansas City,MO,Pri 4yr
AANAPISI & ANNH,Northern Marianas College,,Saipan,MP,Pub 4yr
HBCU,Alcorn State University,,Alcorn State,MS,Pub 4yr
HBCU,Coahoma Community College,,Clarksdale,MS,Pub 2yr
HBCU,Jackson State University,,Jackson,MS,Pub 4yr
HBCU,Mississippi Valley State University,,Itta Bena,MS,Pub 4yr
HBCU,Rust College,,Holly Springs,MS,Pri 4yr
HBCU,Tougaloo College,,Tougaloo,MS,Pri 4yr
PBI,Belhaven University,,Jackson,MS,Pri 4yr
PBI,East Mississippi Community College,,Scooba,MS,Pub 2yr
PBI,Hinds Community College,,Raymond,MS,Pub 2yr
PBI,Holmes Community College,,Goodman,MS,Pub 2yr
PBI,Meridian Community College,,Meridian,MS,Pub 2yr
PBI,Mississippi Delta Community College,,Moorhead,MS,Pub 2yr
PBI,Southeastern Baptist College,,Laurel,MS,Pri 4yr
PBI,Southwest Mississippi Community College,,Summit,MS,Pub 2yr
NASNTI,Montana State University - Northern,,Havre,MT,Pub 4yr
TCU,Aaniiih Nakoda College,,Harlem,MT,Pub 2yr
TCU,Blackfeet Community College,,Browning,MT,Pri 2yr
TCU,Chief Dull Knife College,,Lame Deer,MT,Pub 2yr
TCU,Fort Peck Community College,,Poplar,MT,Pub 2yr
TCU,Little Big Horn College,,Crow Agency,MT,Pub 2yr
TCU,Salish Kootenai College,,Pablo,MT,Pri 4yr
TCU,Stone Child College,,Box Elder,MT,Pub 4yr
AANAPISI & ANNH,Pamlico Community College,,Grantsboro,NC,Pub 2yr
ANNH & NASNTI,Robeson Community College,,Lumberton,NC,Pub 2yr
HBCU,Bennett College,,Greensboro,NC,Pri 4yr
HBCU,Elizabeth City State University,,Elizabeth City,NC,Pub 4yr
HBCU,Fayetteville State University,,Fayetteville,NC,Pub 4yr
HBCU,Johnson C Smith University,,Charlotte,NC,Pri 4yr
HBCU,Livingstone College,,Salisbury,NC,Pri 4yr
HBCU,North Carolina Agricultural & Technical State University,,Greensboro,NC,Pub 4yr
HBCU,North Carolina Central University,,Durham,NC,Pub 4yr
HBCU,Saint Augustine's University,,Raleigh,NC,Pri 4yr
HBCU,Shaw University,,Raleigh,NC,Pri 4yr
HBCU,Winston-Salem State University,,Winston-Salem,NC,Pub 4yr
HSI,Sampson Community College,,Clinton,NC,Pub 2yr
NASNTI,Bladen Community College,,Dublin,NC,Pub 2yr
NASNTI,University of North Carolina at Pembroke,,Pembroke,NC,Pub 4yr
PBI,Carolina College of Biblical Studies,,Fayetteville,NC,Pri 4yr
PBI,Charlotte Christian College and Theological Seminary,,Charlotte,NC,Pri 4yr
PBI,Chowan University,,Murfreesboro,NC,Pri 4yr
PBI,Edgecombe Community College,,Tarboro,NC,Pub 2yr
PBI,Halifax Community College,,Weldon,NC,Pub 2yr
PBI,Johnson & Wales University - Charlotte,,Charlotte,NC,Pri 4yr
PBI,North Carolina Wesleyan College,,Rocky Mount,NC,Pri 4yr
TCU,Cankdeska Cikana (Little Hoop) Community College,,Fort Totten,ND,Pub 2yr
TCU,Nueta Hidatsa Sahnish College,,New Town,ND,Pub 4yr
TCU,Sitting Bull College,,Fort Yates,ND,Pub 4yr
TCU,Turtle Mountain Community College,,Belcourt,ND,Pri 4yr
TCU,United Tribes Technical College,,Bismarck,ND,Pri 4yr
TCU,Little Priest Tribal College,,Winnebago,NE,Pub 2yr
TCU,Nebraska Indian Community College,,Macy,NE,Pub 2yr
AANAPISI & HSI,"Rutgers, the State University of New Jersey",,Newark,NJ,Pub 4yr
HSI,Bergen Community College,,Paramus,NJ,Pub 2yr
HSI,College of Saint Elizabeth,,Morristown,NJ,Pri 4yr
HSI,Cumberland County College,,Vineland,NJ,Pub 2yr
HSI,Fairleigh Dickinson University,,Teaneck,NJ,Pri 4yr
HSI,Felician University,,Lodi,NJ,Pri 4yr
HSI,Hudson County Community College,,Jersey City,NJ,Pub 2yr
HSI,Kean University,,Union,NJ,Pub 4yr
HSI,Montclair State University,,Montclair,NJ,Pub 4yr
HSI,New Jersey City University,,Jersey City,NJ,Pub 4yr
HSI,Passaic County Community College,,Paterson,NJ,Pub 2yr
HSI,Pillar College,,Newark,NJ,Pri 4yr
HSI,Saint Peter's University,,Jersey City,NJ,Pri 4yr
HSI,Union County College,,Cranford,NJ,Pub 2yr
HSI,William Paterson University of New Jersey,,Wayne,NJ,Pub 4yr
HSI & PBI,Bloomfield College,,Bloomfield,NJ,Pri 4yr
HSI & PBI,Essex County College,,Newark,NJ,Pub 2yr
ANNH & NASNTI,San Juan College,,Farmington,NM,Pub 2yr
HSI,Central New Mexico Community College,,Albuquerque,NM,Pub 2yr
HSI,Clovis Community College,,Clovis,NM,Pub 2yr
HSI,Eastern New Mexico University,,Ruidoso,NM,Pub 2yr
HSI,Eastern New Mexico University,,Roswell,NM,Pub 2yr
HSI,Eastern New Mexico University,,Portales,NM,Pub 4yr
HSI,Mesalands Community College,,Tucumcari,NM,Pub 2yr
HSI,New Mexico Highlands University,,Las Vegas,NM,Pub 4yr
HSI,New Mexico Institute of Mining & Technology,,Socorro,NM,Pub 4yr
HSI,New Mexico State University,,Las Cruces,NM,Pub 4yr
HSI,New Mexico State University,,Grants,NM,Pub 2yr
HSI,New Mexico State University,,Las Cruces,NM,Pub 2yr
HSI,New Mexico State University,,Carlsbad,NM,Pub 2yr
HSI,New Mexico State University,,Alamogordo,NM,Pub 2yr
HSI,Northern New Mexico College,,Espanola,NM,Pub 4yr
HSI,Santa Fe Community College,,Santa Fe,NM,Pub 2yr
HSI,University of New Mexico,,Los Lunas,NM,Pub 2yr
HSI,University of New Mexico,,Ranchos de Taos,NM,Pub 2yr
HSI,University of New Mexico,,Albuquerque,NM,Pub 4yr
HSI,University of New Mexico,,Los Alamos,NM,Pub 2yr
HSI,University of the Southwest,,Hobbs,NM,Pri 4yr
HSI,Western New Mexico University,,Silver City,NM,Pub 4yr
NASNTI,Eastern New Mexico University,,Ruidoso,NM,Pub 2yr
NASNTI,New Mexico State University,,Grants,NM,Pub 2yr
TCU,Institute of American Indian & Alaska Native Culture & Arts Development,,Santa Fe,NM,Pub 4yr
TCU,Navajo Technical University,,Crownpoint,NM,Pub 4yr
TCU,Southwestern Indian Polytechnic Institute,,Albuquerque,NM,Pub 2yr
AANAPISI,University of Nevada - Las Vegas,,Las Vegas,NV,Pub 4yr
AANAPISI & HSI,College of Southern Nevada,,Las Vegas,NV,Pub 4yr
HSI,Nevada State College,,Henderson,NV,Pub 4yr
HSI,Western Nevada College,,Carson City,NV,Pub 4yr
AANAPISI,Adelphi University,,Garden City,NY,Pri 4yr
AANAPISI,CUNY Bernard M. Baruch College,,New York,NY,Pub 4yr
AANAPISI,CUNY Brooklyn College,,Brooklyn,NY,Pub 4yr
AANAPISI,Kingsborough Community College/CUNY,,Brooklyn,NY,Pub 2yr
AANAPISI,Long Island University,,Brooklyn,NY,Pri 4yr
AANAPISI,New York College of Health Professions,,Syosset,NY,Pri 4yr
AANAPISI,New York Institute of Technology,,Old Westbury,NY,Pri 4yr
AANAPISI,Saint John's University,,Queens,NY,Pri 4yr
AANAPISI & HSI,City College of New York - CUNY,,New York,NY,Pub 4yr
AANAPISI & HSI,College of Staten Island/CUNY,,Staten Island,NY,Pub 4yr
AANAPISI & HSI,CUNY Hunter College,,New York,NY,Pub 4yr
AANAPISI & HSI,CUNY Queens College,,Queens,NY,Pub 4yr
AANAPISI & HSI,Queensborough Community College - CUNY,,Bayside,NY,Pub 2yr
AANAPISI & HSI,SUNY College at Old Westbury,,Old Westbury,NY,Pub 4yr
HSI,American Musical & Dramatic Academy,,New York,NY,Pri 4yr
HSI,Boricua College,,New York,NY,Pri 4yr
HSI,College of Mount Saint Vincent,,Bronx,NY,Pri 4yr
HSI,CUNY Borough of Manhattan Community College,,New York,NY,Pub 2yr
HSI,CUNY Bronx Community College,,Bronx,NY,Pub 2yr
HSI,CUNY John Jay College of Criminal Justice,,New York,NY,Pub 4yr
HSI,CUNY LaGuardia Community College,,Long Island City,NY,Pub 2yr
HSI,CUNY Lehman College,,Bronx,NY,Pub 4yr
HSI,"CUNY, Hostos Community College",,Bronx,NY,Pub 2yr
HSI,Dominican College of Blauvelt,,Orangeburg,NY,Pri 4yr
HSI,Long Island University - Riverhead,,Riverhead,NY,Pri 4yr
HSI,Mercy College,,Dobbs Ferry,NY,Pri 4yr
HSI,New York City College of Technology of the City University of New York,,Brooklyn,NY,Pub 4yr
HSI,Nyack College,,Nyack,NY,Pri 4yr
HSI,Orange County Community College,,Middletown,NY,Pub 2yr
HSI,Rockland Community College,,Suffern,NY,Pub 2yr
HSI,Stella and Charles Guttman Community College,,New York,NY,Pub 2yr
HSI,SUNY Westchester Community College,,Valhalla,NY,Pub 2yr
HSI,Vaughn College of Aeronautics and Technology,,Flushing,NY,Pri 4yr
HSI & PBI,College of New Rochelle (The),,New Rochelle,NY,Pri 4yr
HSI & PBI,CUNY Graduate School & University Center,,New York,NY,Pub 4yr
PBI,CUNY Medgar Evers College,,Brooklyn,NY,Pub 4yr
PBI,CUNY York College,,Jamaica,NY,Pub 4yr
PBI,Metropolitan College of New York,,New York,NY,Pri 4yr
HBCU,Central State University,,Wilberforce,OH,Pub 4yr
HBCU,Wilberforce University,,Wilberforce,OH,Pri 4yr
HSI,Union Institute & University,,Cincinnati,OH,Pri 4yr
PBI,Altierus Career College - Columbus,,Gahanna,OH,Pri 2yr
PBI,Herzing University - Toledo,,Toledo,OH,Pri 4yr
PBI,Remington College - Cleveland Campus,,Cleveland,OH,Pri 2yr
ANNH & NASNTI,Bacone College,,Muskogee,OK,Pri 4yr
ANNH & NASNTI,Carl Albert State College,,Poteau,OK,Pub 2yr
ANNH & NASNTI,Connors State College,,Warner,OK,Pub 2yr
HBCU,Langston University,,Langston,OK,Pub 4yr
HSI,Oklahoma Panhandle State University,,Goodwell,OK,Pub 4yr
NASNTI,Community Care College,,Tulsa,OK,Pri 2yr
NASNTI,Northeastern Oklahoma A & M College,,Miami,OK,Pub 2yr
NASNTI,Northeastern State University,,Tahlequah,OK,Pub 4yr
NASNTI,Northern Oklahoma College,,Tonkawa,OK,Pub 2yr
NASNTI,Oklahoma State University Institute of Technology - Okmulgee,,Okmulgee,OK,Pub 4yr
NASNTI,Redlands Community College,,El Reno,OK,Pub 2yr
NASNTI,Rogers State University,,Claremore,OK,Pub 4yr
NASNTI,Seminole State College,,Seminole,OK,Pub 2yr
NASNTI,Southeastern Oklahoma State University,,Durant,OK,Pub 4yr
TCU,College of the Muscogee Nation,,Okmulgee,OK,Pub 2yr
AANAPISI,Pacific University,,Forest Grove,OR,Pri 4yr
AANAPISI,Portland State University,,Portland,OR,Pub 4yr
HSI,Blue Mountain Community College,,Pendleton,OR,Pub 2yr
HSI,Chemeketa Community College,,Salem,OR,Pub 2yr
HSI,Columbia Gorge Community College,,The Dalles,OR,Pub 2yr
HSI,Treasure Valley Community College,,Ontario,OR,Pub 2yr
HSI,Warner Pacific University,,Portland,OR,Pri 4yr
AANAPISI,Pennsylvania State University - Penn State Abington,,Abington,PA,Pub 4yr
HBCU,Cheyney University of Pennsylvania,,Cheyney,PA,Pub 4yr
HBCU,Lincoln University,,Lincoln University,PA,Pub 4yr
HSI,Eastern University,,Saint Davids,PA,Pri 4yr
HSI,Reading Area Community College,,Reading,PA,Pub 2yr
PBI,Community College of Philadelphia,,Philadelphia,PA,Pub 2yr
PBI,Peirce College,,Philadelphia,PA,Pri 4yr
HSI,American University of Puerto Rico,,Bayamon,PR,Pri 4yr
HSI,Atenas College,,Manati,PR,Pri 4yr
HSI,Atlantic University College,,Guaynabo,PR,Pri 4yr
HSI,Caribbean University,,Bayamon,PR,Pri 4yr
HSI,Caribbean University,,Carolina,PR,Pri 4yr
HSI,Caribbean University,,Ponce,PR,Pri 4yr
HSI,Caribbean University,,Vega Baja,PR,Pri 4yr
HSI,Carlos Albizu University,,San Juan,PR,Pri 4yr
HSI,Colegio Universitario de San Juan,,San Juan,PR,Pub 4yr
HSI,Commonwealth of Puerto Rico Department of Education,,San Juan,PR,Pub 2yr
HSI,Dewey University,,Mayaguez,PR,Pri 2yr
HSI,Dewey University,,Manati,PR,Pri 4yr
HSI,Dewey University,,Juana Diaz,PR,Pri 4yr
HSI,Dewey University,,Hato Rey,PR,Pri 4yr
HSI,Dewey University,,Fajardo,PR,Pri 2yr
HSI,Dewey University,,Carolina,PR,Pri 4yr
HSI,EDP University of Puerto Rico,,San Juan,PR,Pri 4yr
HSI,EDP University of Puerto Rico Inc - San Sebastian,,San Sebastian,PR,Pri 4yr
HSI,Humacao Community College,,Humacao,PR,Pri 4yr
HSI,Instituto Tecnologico de Puerto Rico - Recinto de Manati,,Manati,PR,Pub 2yr
HSI,Inter American University of Puerto Rico - Aguadilla Campus,,Aguadilla,PR,Pri 4yr
HSI,Inter American University of Puerto Rico - Arecibo Campus,,Arecibo,PR,Pri 4yr
HSI,Inter American University of Puerto Rico - Barranquitas Campus,,Barranquitas,PR,Pri 4yr
HSI,Inter American University of Puerto Rico - Bayamon Campus,,Bayamon,PR,Pri 4yr
HSI,Inter American University of Puerto Rico - Fajardo Campus,,Fajardo,PR,Pri 4yr
HSI,Inter American University of Puerto Rico - Guayama Campus,,Guayama,PR,Pri 4yr
HSI,Inter American University of Puerto Rico - Metropolitan Campus,,San Juan,PR,Pri 4yr
HSI,Inter American University of Puerto Rico - Ponce Campus,,Mercedita,PR,Pri 4yr
HSI,Inter American University of Puerto Rico San German Campus,,San German,PR,Pri 4yr
HSI,Pontifical Catholic University of Puerto Rico (The),,Ponce,PR,Pri 4yr
HSI,Pontifical Catholic University of Puerto Rico (The),,Mayaguez,PR,Pri 4yr
HSI,Pontifical Catholic University of Puerto Rico (The),,Arecibo,PR,Pri 4yr
HSI,San Juan Bautista School of Medicine,,Caguas,PR,Pri 4yr
HSI,Trinity College of Puerto Rico,,Ponce,PR,Pri 2yr
HSI,Universal Technology College of Puerto Rico,,Aguadilla,PR,Pri 4yr
HSI,Universidad Adventista De Las Antillas,,Mayaguez,PR,Pri 4yr
HSI,Universidad Ana G. Mendez - Gurabo Campus,,Gurabo,PR,Pri 4yr
HSI,"Universidad Ana G. Mendez, Carolina Campus",,Carolina,PR,Pri 4yr
HSI,"Universidad Ana G. Mendez, Cupey Campus",,San Juan,PR,Pri 4yr
HSI,Universidad Central de Bayamon,,Bayamón,PR,Pri 4yr
HSI,Universidad del Sagrado Corazón,,Santurce,PR,Pri 4yr
HSI,Universidad Politécnica de Puerto Rico,,Hato Rey,PR,Pri 4yr
HSI,University of Puerto Rico - Arecibo,,Arecibo,PR,Pub 4yr
HSI,University of Puerto Rico - Cayey University College,,Cayey,PR,Pub 4yr
HSI,University of Puerto Rico - Humacao University College,,Humacao,PR,Pub 4yr
HSI,University of Puerto Rico - Mayaguez,,Mayaguez,PR,Pub 4yr
HSI,University of Puerto Rico - Medical Science Campus,,San Juan,PR,Pub 4yr
HSI,University of Puerto Rico - Rio Piedras Campus,,San Juan,PR,Pub 4yr
HSI,"University of Puerto Rico, Aguadilla Regional College",,Aguadilla,PR,Pub 4yr
HBCU,Allen University,,Columbia,SC,Pri 4yr
HBCU,Benedict College,,Columbia,SC,Pri 4yr
HBCU,Claflin University,,Orangeburg,SC,Pri 4yr
HBCU,Clinton College,,Rock Hill,SC,Pri 4yr
HBCU,Denmark Technical College,,Denmark,SC,Pub 2yr
HBCU,Morris College,,Sumter,SC,Pri 4yr
HBCU,South Carolina State University,,Orangeburg,SC,Pub 4yr
HBCU,Voorhees College,,Denmark,SC,Pri 4yr
PBI,Central Carolina Technical College,,Sumter,SC,Pub 2yr
PBI,Florence - Darlington Technical College,,Florence,SC,Pub 2yr
PBI,Limestone College,,Gaffney,SC,Pri 4yr
PBI,Northeastern Technical College,,Cheraw,SC,Pub 2yr
PBI,Orangeburg - Calhoun Technical College,,Orangeburg,SC,Pub 2yr
PBI,Williamsburg Technical College,,Kingstree,SC,Pub 2yr
NASNTI,Western Dakota Technical Institute,,Rapid City,SD,Pub 2yr
TCU,Oglala Lakota College,,Kyle,SD,Pub 4yr
TCU,Sinte Gleska University,,Mission,SD,Pri 4yr
TCU,Sisseton Wahpeton College,,Sisseton,SD,Pub 2yr
HBCU,American Baptist Theological Seminary,,Nashville,TN,Pri 4yr
HBCU,Fisk University,,Nashville,TN,Pri 4yr
HBCU,Lane College,,Jackson,TN,Pri 4yr
HBCU,LeMoyne - Owen College,,Memphis,TN,Pri 4yr
HBCU,Tennessee State University,,Nashville,TN,Pub 4yr
PBI,Baptist Memorial College of Health Sciences,,Memphis,TN,Pri 4yr
PBI,Remington College - Memphis Campus,,Memphis,TN,Pri 4yr
PBI,Southwest Tennessee Community College,,Memphis,TN,Pub 2yr
AANAPISI & HSI,Brookhaven College,,Farmers Branch,TX,Pub 2yr
AANAPISI & HSI,Houston Community College,,Houston,TX,Pub 2yr
AANAPISI & HSI,North Lake College,,Irving,TX,Pub 2yr
AANAPISI & HSI,Richland College,,Dallas,TX,Pub 2yr
AANAPISI & HSI,University of Houston,,Houston,TX,Pub 4yr
AANAPISI & HSI,University of Saint Thomas,,Houston,TX,Pri 4yr
AANAPISI & HSI,Wharton County Junior College,,Wharton,TX,Pub 2yr
HBCU,Huston - Tillotson University,,Austin,TX,Pri 4yr
HBCU,Jarvis Christian College,,Hawkins,TX,Pri 4yr
HBCU,Paul Quinn College,,Dallas,TX,Pri 4yr
HBCU,Prairie View Agricultural & Mechanical University,,Prairie View,TX,Pub 4yr
HBCU,Saint Philip's College,,San Antonio,TX,Pub 2yr
HBCU,Southwestern Christian College,,Terrell,TX,Pri 4yr
HBCU,Texas College,,Tyler,TX,Pri 4yr
HBCU,Texas Southern University,,Houston,TX,Pub 4yr
HBCU,Wiley College,,Marshall,TX,Pri 4yr
HSI,Altierus Career College - Arlington,,Arlington,TX,Pri 2yr
HSI,Altierus Career College - Fort Worth South,,Ft Worth,TX,Pri 2yr
HSI,Alvin Community College,,Alvin,TX,Pub 2yr
HSI,Amarillo College,,Amarillo,TX,Pub 2yr
HSI,Angelina College,,Lufkin,TX,Pub 2yr
HSI,Angelo State University,,San Angelo,TX,Pub 4yr
HSI,Austin Community College,,Austin,TX,Pub 2yr
HSI,Brazosport College,,Lake Jackson,TX,Pub 4yr
HSI,Cisco College,,Cisco,TX,Pub 2yr
HSI,Clarendon College,,Clarendon,TX,Pub 2yr
HSI,Coastal Bend College,,Beeville,TX,Pub 2yr
HSI,College of the Mainland,,Texas City,TX,Pub 2yr
HSI,Concordia University Texas,,Austin,TX,Pri 4yr
HSI,Del Mar College,,Corpus Christi,TX,Pub 2yr
HSI,Eastfield College,,Mesquite,TX,Pub 2yr
HSI,El Centro College,,Dallas,TX,Pub 2yr
HSI,El Paso Community College,,El Paso,TX,Pub 2yr
HSI,Frank Phillips College,,Borger,TX,Pub 2yr
HSI,Galveston College,,Galveston,TX,Pub 2yr
HSI,Hallmark University,,San Antonio,TX,Pri 4yr
HSI,Houston Baptist University,,Houston,TX,Pri 4yr
HSI,Howard County Junior College District,,Big Spring,TX,Pub 2yr
HSI,Jacksonville College,,Jacksonville,TX,Pri 2yr
HSI,Lamar State College - Port Arthur,,Port Arthur,TX,Pub 2yr
HSI,Laredo College,,Laredo,TX,Pub 2yr
HSI,Lee College,,Baytown,TX,Pub 2yr
HSI,Lone Star College System,,The Woodlands,TX,Pub 2yr
HSI,McLennan Community College,,Waco,TX,Pub 2yr
HSI,McMurry University,,Abilene,TX,Pri 4yr
HSI,Mountain View College,,Dallas,TX,Pub 2yr
HSI,Northeast Texas Community College,,Mount Pleasant,TX,Pub 2yr
HSI,Northwest Vista College,,San Antonio,TX,Pub 2yr
HSI,Odessa College,,Odessa,TX,Pub 2yr
HSI,Our Lady of The Lake University,,San Antonio,TX,Pri 4yr
HSI,Palo Alto College,,San Antonio,TX,Pub 2yr
HSI,Remington College,,Garland,TX,Pri 4yr
HSI,Remington College - Fort Worth Campus,,Fort Worth,TX,Pri 4yr
HSI,Remington College - Houston Southeast Campus,,Webster,TX,Pri 2yr
HSI,San Antonio College,,San Antonio,TX,Pub 2yr
HSI,San Jacinto Community College District,,Pasadena,TX,Pub 2yr
HSI,Schreiner University,,Kerrville,TX,Pri 4yr
HSI,South Plains College,,Levelland,TX,Pub 2yr
HSI,South Texas College,,McAllen,TX,Pub 4yr
HSI,Southwest Texas Junior College,,Uvalde,TX,Pub 2yr
HSI,Southwestern Adventist University,,Keene,TX,Pri 4yr
HSI,St. Edward's University,,Austin,TX,Pri 4yr
HSI,St. Mary's University,,San Antonio,TX,Pri 4yr
HSI,Sul Ross State University,,Alpine,TX,Pub 4yr
HSI,Tarrant County College District,,Fort Worth,TX,Pub 2yr
HSI,Temple College,,Temple,TX,Pub 2yr
HSI,Texas A&M International University,,Laredo,TX,Pub 4yr
HSI,Texas A&M University - Corpus Christi,,Corpus Christi,TX,Pub 4yr
HSI,Texas A&M University - Kingsville,,Kingsville,TX,Pub 4yr
HSI,Texas A&M University - San Antonio,,San Antonio,TX,Pub 4yr
HSI,Texas Lutheran University,,Seguin,TX,Pri 4yr
HSI,Texas Southmost College,,Brownsville,TX,Pub 2yr
HSI,Texas State Technical College,,Waco,TX,Pub 2yr
HSI,Texas State University,,San Marcos,TX,Pub 4yr
HSI,Texas Tech University,,Lubbock,TX,Pub 4yr
HSI,Texas Wesleyan University,,Fort Worth,TX,Pri 4yr
HSI,Texas Woman's University,,Denton,TX,Pub 4yr
HSI,University of Houston - Clear Lake,,Houston,TX,Pub 4yr
HSI,University of Houston - Downtown,,Houston,TX,Pub 4yr
HSI,University of Houston - Victoria,,Victoria,TX,Pub 4yr
HSI,University of North Texas at Dallas,,Dallas,TX,Pub 4yr
HSI,University of Texas - Rio Grande Valley,,Edinburg,TX,Pub 4yr
HSI,University of Texas at Arlington,,Arlington,TX,Pub 4yr
HSI,University of Texas at El Paso,,El Paso,TX,Pub 4yr
HSI,University of Texas at San Antonio,,San Antonio,TX,Pub 4yr
HSI,University of Texas Health Science Center at San Antonio,,San Antonio,TX,Pub 4yr
HSI,University of Texas of the Permian Basin,,Odessa,TX,Pub 4yr
HSI,University of the Incarnate Word,,San Antonio,TX,Pri 4yr
HSI,Vernon College,,Vernon,TX,Pub 2yr
HSI,Victoria College,,Victoria,TX,Pub 2yr
HSI,Western Texas College,,Snyder,TX,Pub 2yr
HSI & PBI,Altierus Career College - Bissonnet,,Houston,TX,Pri 2yr
HSI & PBI,Cedar Valley College,,Lancaster,TX,Pub 2yr
HSI & PBI,Remington College-North Houston Campus,,Houston,TX,Pri 4yr
PBI,Dallas Nursing Institute,,Dallas,TX,Pri 4yr
AANAPISI,Northern Virginia Community College,,Annandale,VA,Pub 2yr
HBCU,Hampton University,,Hampton,VA,Pri 4yr
HBCU,Norfolk State University,,Norfolk,VA,Pub 4yr
HBCU,Virginia State University,,Petersburg,VA,Pub 4yr
HBCU,Virginia Union University,,Richmond,VA,Pri 4yr
HBCU,Virginia University of Lynchburg,,Lynchburg,VA,Pri 4yr
HBCU,University of the Virgin Islands,,Charlotte Amalie,VI,Pub 4yr
AANAPISI,Bastyr University,,Kenmore,WA,Pri 4yr
AANAPISI,Bellevue College,,Bellevue,WA,Pub 4yr
AANAPISI,Edmonds Community College,,Lynnwood,WA,Pub 4yr
AANAPISI,Green River College,,Auburn,WA,Pub 4yr
AANAPISI,Highline College,,Des Moines,WA,Pub 4yr
AANAPISI,Lake Washington Institute of Technology,,Kirkland,WA,Pub 4yr
AANAPISI,Pierce College,,Lakewood,WA,Pub 4yr
AANAPISI,Saint Martin's University,,Lacey,WA,Pri 4yr
AANAPISI,Seattle Central College,,Seattle,WA,Pub 4yr
AANAPISI,Shoreline Community College,,Shoreline,WA,Pub 2yr
AANAPISI,University of Washington - Seattle,,Bothell,WA,Pub 4yr
AANAPISI,University of Washington - Tacoma Campus,,Tacoma,WA,Pub 4yr
HSI,Big Bend Community College,,Moses Lake,WA,Pub 2yr
HSI,Columbia Basin College,,Pasco,WA,Pub 4yr
HSI,Heritage University,,Toppenish,WA,Pri 4yr
HSI,Perry Technical Institute,,Yakima,WA,Pri 2yr
HSI,Wenatchee Valley College,,Wenatchee,WA,Pub 4yr
HSI,Yakima Valley College,,Yakima,WA,Pub 4yr
TCU,Northwest Indian College,,Bellingham,WA,Pub 4yr
ANNH & NASNTI,East - West University,,Keshena,WI,Pri 4yr
HSI,Alverno College,,Milwaukee,WI,Pri 4yr
TCU,College of Menominee Nation,,Keshena,WI,Pri 4yr
TCU,Lac Courte Oreilles Ojibwa Community College,,Hayward,WI,Pub 2yr
HBCU,Bluefield State College,,Bluefield,WV,Pub 4yr
HBCU,West Virginia State University,,Institute,WV,Pub 4yr