mimicUnion,,,
,Institution,isMinority_Union,MSI_Type
0,Not Minority,3395,No MSI Type
1,University of Washington - Seattle,70,AANAPISI
2,University of Minnesota - Twin Cities,48,AANAPISI
3,The University of Texas at Austin,44,AANAPISI
4,Arizona State University,24,HSI
5,"University of California, Irvine",12,AANAPISI & HSI
6,University of Illinois at Chicago,8,AANAPISI & HSI
7,Texas A&M University-Central Texas,8,HSI
8,University of Texas at Arlington,6,HSI
9,University of Arizona (The),6,HSI
10,Winston-Salem State University,5,HBCU
11,"Rutgers, the State University of New Jersey",5,AANAPISI & HSI
12,University of Houston,4,AANAPISI & HSI
13,Florida International University,4,HSI
14,Loma Linda University,4,AANAPISI
15,"University of California, Davis",3,AANAPISI
16,St. John's University-New York,3,AANAPISI
17,Louisiana State University-Alexandria,1,NASNTI
18,University of New Mexico,1,HSI
19,University of Texas Health Science Center at San Antonio,1,HSI
20,"California State University, Northridge",1,HSI
21,"University of California, Riverside",1,AANAPISI & HSI
22,CUNY Borough of Manhattan Community College,1,HSI
23,University of Central Florida,1,HSI
24,"University of California, Santa Cruz",1,HSI
25,Georgia State University,1,AANAPISI & PBI
26,Howard University,1,HBCU
27,"University of California, Santa Barbara",1,HSI
28,Howard University,1,HBCU